# packages in environment at /home/yanhu/utils/miniforge3/envs/print:
#
# Name                    Version                   Build  Channel
r-checkmate               2.3.2             r43hdb488b9_0    conda-forge
r-class                   7.3_22            r43h57805ef_1    conda-forge
r-cli                     3.6.2             r43ha503ecb_0    conda-forge
r-clipr                   0.8.0             r43hc72bb7e_2    conda-forge
r-clock                   0.7.0             r43ha503ecb_1    conda-forge
r-cluster                 2.1.6             r43h61816a4_0    conda-forge
r-coda                    0.19_4.1          r43hc72bb7e_0    conda-forge
r-codetools               0.2_20            r43hc72bb7e_0    conda-forge
r-colorspace              2.1_0             r43h57805ef_1    conda-forge
r-commonmark              1.9.1             r43h57805ef_0    conda-forge
r-conquer                 1.3.3             r43h08d816e_2    conda-forge
r-corrplot                0.92              r43hc72bb7e_2    conda-forge
r-cowplot                 1.1.3             r43hc72bb7e_0    conda-forge
r-cpp11                   0.4.7             r43hc72bb7e_0    conda-forge
r-crayon                  1.5.2             r43hc72bb7e_2    conda-forge
r-credentials             2.0.1             r43hc72bb7e_0    conda-forge
r-crosstalk               1.2.1             r43hc72bb7e_0    conda-forge
r-curl                    5.1.0             r43hf9611b0_0    conda-forge
r-data.table              1.15.2            r43h029312a_0    conda-forge
r-dbi                     1.2.2             r43hc72bb7e_0    conda-forge
r-dbplyr                  2.5.0             r43hc72bb7e_0    conda-forge
r-deldir                  2.0_4             r43h61816a4_0    conda-forge
r-desc                    1.4.3             r43hc72bb7e_0    conda-forge
r-devtools                2.4.5             r43hc72bb7e_2    conda-forge
r-diagram                 1.6.5             r43ha770c72_2    conda-forge
r-dichromat               2.0_0.1           r43ha770c72_3    conda-forge
r-diffobj                 0.3.5             r43h57805ef_2    conda-forge
r-digest                  0.6.35            r43ha503ecb_0    conda-forge
r-dotcall64               1.1_1             r43h61816a4_0    conda-forge
r-downlit                 0.4.3             r43hc72bb7e_0    conda-forge
r-dplyr                   1.1.4             r43ha503ecb_0    conda-forge
r-dqrng                   0.3.2             r43ha503ecb_0    conda-forge
r-dt                      0.33              r43hc72bb7e_0    conda-forge
r-e1071                   1.7_14            r43ha503ecb_0    conda-forge
r-ellipsis                0.3.2             r43h57805ef_2    conda-forge
r-emdbook                 1.3.13            r43hc72bb7e_0    conda-forge
r-etrunct                 0.1             r43hc72bb7e_1005    conda-forge
r-evaluate                0.23              r43hc72bb7e_0    conda-forge
r-fansi                   1.0.6             r43h57805ef_0    conda-forge
r-farver                  2.1.1             r43ha503ecb_2    conda-forge
r-fastdummies             1.7.3             r43hc72bb7e_0    conda-forge
r-fastmap                 1.1.1             r43ha503ecb_1    conda-forge
r-filelock                1.0.3             r43h57805ef_0    conda-forge
r-fitdistrplus            1.1_11            r43hc72bb7e_1    conda-forge
r-fnn                     1.1.4             r43ha503ecb_0    conda-forge
r-fontawesome             0.5.2             r43hc72bb7e_0    conda-forge
r-forcats                 1.0.0             r43hc72bb7e_1    conda-forge
r-foreach                 1.5.2             r43hc72bb7e_2    conda-forge
r-foreign                 0.8_86            r43h57805ef_0    conda-forge
r-formatr                 1.14              r43hc72bb7e_1    conda-forge
r-formula                 1.2_5             r43hc72bb7e_2    conda-forge
r-fs                      1.6.3             r43ha503ecb_0    conda-forge
r-futile.logger           1.4.3           r43hc72bb7e_1005    conda-forge
r-futile.options          1.0.1           r43hc72bb7e_1004    conda-forge
r-future                  1.33.2            r43h785f33e_0    conda-forge
r-future.apply            1.11.2            r43hc72bb7e_0    conda-forge
r-generics                0.1.3             r43hc72bb7e_2    conda-forge
r-gert                    2.0.1             r43hc25a090_0    conda-forge
r-ggbeeswarm              0.7.2             r43hc72bb7e_1    conda-forge
r-ggplot2                 3.5.0             r43hc72bb7e_0    conda-forge
r-ggpubr                  0.6.0             r43hc72bb7e_1    conda-forge
r-ggrepel                 0.9.5             r43ha503ecb_0    conda-forge
r-ggridges                0.5.6             r43hc72bb7e_0    conda-forge
r-ggsci                   3.1.0             r43hc72bb7e_0    conda-forge
r-ggsignif                0.6.4             r43hc72bb7e_1    conda-forge
r-gh                      1.4.1             r43hc72bb7e_0    conda-forge
r-gitcreds                0.1.2             r43hc72bb7e_2    conda-forge
r-globals                 0.16.3            r43hc72bb7e_0    conda-forge
r-glue                    1.7.0             r43h57805ef_0    conda-forge
r-gmp                     0.7_4             r43ha503ecb_0    conda-forge
r-goftest                 1.2_3             r43h57805ef_2    conda-forge
r-gower                   1.0.1             r43h57805ef_1    conda-forge
r-gplots                  3.1.3.1           r43hc72bb7e_0    conda-forge
r-gridextra               2.3             r43hc72bb7e_1005    conda-forge
r-gtable                  0.3.4             r43hc72bb7e_0    conda-forge
r-gtools                  3.9.5             r43h57805ef_0    conda-forge
r-hardhat                 1.4.0             r43hc72bb7e_0    conda-forge
r-haven                   2.5.4             r43ha503ecb_0    conda-forge
r-hdf5r                   1.3.10            r43h0e8ca13_0    conda-forge
r-here                    1.0.1             r43hc72bb7e_2    conda-forge
r-hexbin                  1.28.3            r43h61816a4_1    conda-forge
r-highr                   0.10              r43hc72bb7e_1    conda-forge
r-hmisc                   5.1_3             r43hc4980d5_1    conda-forge
r-hms                     1.1.3             r43hc72bb7e_1    conda-forge
r-htmltable               2.4.3             r43hc72bb7e_0    conda-forge
r-htmltools               0.5.8.1           r43ha503ecb_0    conda-forge
r-htmlwidgets             1.6.4             r43hc72bb7e_1    conda-forge
r-httpuv                  1.6.15            r43ha503ecb_0    conda-forge
r-httr                    1.4.7             r43hc72bb7e_0    conda-forge
r-httr2                   1.0.1             r43hc72bb7e_0    conda-forge
r-ica                     1.0_3             r43hc72bb7e_2    conda-forge
r-igraph                  2.0.2             r43hbec7d4a_0    conda-forge
r-ini                     0.3.1           r43hc72bb7e_1005    conda-forge
r-interp                  1.1_6             r43ha936806_1    conda-forge
r-invgamma                1.1               r43hc72bb7e_3    conda-forge
r-ipred                   0.9_14            r43h57805ef_1    conda-forge
r-irdisplay               1.1               r43hd8ed1ab_2    conda-forge
r-irkernel                1.3.2             r43h785f33e_1    conda-forge
r-irlba                   2.3.5.1           r43h316c678_1    conda-forge
r-isoband                 0.2.7             r43ha503ecb_2    conda-forge
r-iterators               1.0.14            r43hc72bb7e_2    conda-forge
r-jpeg                    0.1_10            r43had62be2_6    conda-forge
r-jquerylib               0.1.4             r43hc72bb7e_2    conda-forge
r-jsonlite                1.8.8             r43h57805ef_0    conda-forge
r-kernsmooth              2.23_22           r43h13b3f57_0    conda-forge
r-knitr                   1.46              r43hc72bb7e_0    conda-forge
r-labeling                0.4.3             r43hc72bb7e_0    conda-forge
r-lambda.r                1.2.4             r43hc72bb7e_3    conda-forge
r-later                   1.3.2             r43ha503ecb_0    conda-forge
r-lattice                 0.22_6            r43h57805ef_0    conda-forge
r-latticeextra            0.6_30            r43hc72bb7e_3    conda-forge
r-lava                    1.7.3             r43hc72bb7e_0    conda-forge
r-lazyeval                0.2.2             r43h57805ef_4    conda-forge
r-leiden                  0.4.3.1           r43hc72bb7e_0    conda-forge
r-lifecycle               1.0.4             r43hc72bb7e_0    conda-forge
r-listenv                 0.9.1             r43hc72bb7e_0    conda-forge
r-lme4                    1.1_35.3          r43ha503ecb_0    conda-forge
r-lmtest                  0.9_40            r43h61816a4_2    conda-forge
r-locfit                  1.5_9.9           r43h57805ef_0    conda-forge
r-lsei                    1.3_0             r43hd8f1df9_3    conda-forge
r-lubridate               1.9.3             r43h57805ef_0    conda-forge
r-magrittr                2.0.3             r43h57805ef_2    conda-forge
r-maptools                1.1_8             r43h57805ef_0    conda-forge
r-mass                    7.3_60            r43h57805ef_1    conda-forge
r-matrix                  1.6_5             r43h316c678_0    conda-forge
r-matrixmodels            0.5_3             r43hc72bb7e_0    conda-forge
r-matrixstats             1.3.0             r43h57805ef_0    conda-forge
r-memoise                 2.0.1             r43hc72bb7e_2    conda-forge
r-mgcv                    1.9_1             r43h316c678_0    conda-forge
r-mime                    0.12              r43h57805ef_2    conda-forge
r-miniui                  0.1.1.1         r43hc72bb7e_1004    conda-forge
r-minqa                   1.2.7             r43h4a74c7a_0    conda-forge
r-mixsqp                  0.3_54            r43h08d816e_0    conda-forge
r-modelmetrics            1.2.2.2           r43ha503ecb_3    conda-forge
r-munsell                 0.5.1             r43hc72bb7e_0    conda-forge
r-mvtnorm                 1.2_4             r43hd9ac46e_0    conda-forge
r-nabor                   0.5.0             r43ha503ecb_2    conda-forge
r-nlme                    3.1_164           r43h61816a4_0    conda-forge
r-nloptr                  2.0.3             r43hcf54a89_2    conda-forge
r-nnet                    7.3_19            r43h57805ef_1    conda-forge
r-npsurv                  0.5_0             r43hc72bb7e_2    conda-forge
r-numderiv                2016.8_1.1        r43hc72bb7e_5    conda-forge
r-openssl                 2.1.1             r43hb353fa6_0    conda-forge
r-parallelly              1.37.1            r43h57805ef_0    conda-forge
r-patchwork               1.2.0             r43hc72bb7e_0    conda-forge
r-pbapply                 1.7_2             r43hc72bb7e_0    conda-forge
r-pbdzmq                  0.3_11            r43hc2df49b_0    conda-forge
r-pbkrtest                0.5.2             r43hc72bb7e_1    conda-forge
r-pillar                  1.9.0             r43hc72bb7e_1    conda-forge
r-pkgbuild                1.4.4             r43hc72bb7e_0    conda-forge
r-pkgconfig               2.0.3             r43hc72bb7e_3    conda-forge
r-pkgdown                 2.0.9             r43hc72bb7e_0    conda-forge
r-pkgload                 1.3.4             r43hc72bb7e_0    conda-forge
r-plogr                   0.2.0           r43hc72bb7e_1005    conda-forge
r-plotly                  4.10.4            r43hc72bb7e_0    conda-forge
r-plyr                    1.8.9             r43ha503ecb_0    conda-forge
r-png                     0.1_8             r43h81d01c5_1    conda-forge
r-polyclip                1.10_6            r43ha503ecb_0    conda-forge
r-polynom                 1.4_1             r43hc72bb7e_2    conda-forge
r-powerlaw                0.80.0            r43hc72bb7e_0    conda-forge
r-pracma                  2.4.4             r43hc72bb7e_0    conda-forge
r-praise                  1.0.0           r43hc72bb7e_1007    conda-forge
r-prettyunits             1.2.0             r43hc72bb7e_0    conda-forge
r-proc                    1.18.5            r43ha503ecb_0    conda-forge
r-processx                3.8.4             r43h57805ef_0    conda-forge
r-prodlim                 2023.08.28        r43ha503ecb_0    conda-forge
r-profvis                 0.3.8             r43h57805ef_3    conda-forge
r-progress                1.2.3             r43hc72bb7e_0    conda-forge
r-progressr               0.14.0            r43hc72bb7e_0    conda-forge
r-promises                1.3.0             r43ha503ecb_0    conda-forge
r-proxy                   0.4_27            r43h57805ef_2    conda-forge
r-ps                      1.7.6             r43h57805ef_0    conda-forge
r-purrr                   1.0.2             r43h57805ef_0    conda-forge
r-quantreg                5.98              r43hc29710b_0    conda-forge
r-r.methodss3             1.8.2             r43hc72bb7e_2    conda-forge
r-r.oo                    1.26.0            r43hc72bb7e_0    conda-forge
r-r.utils                 2.12.3            r43hc72bb7e_0    conda-forge
r-r6                      2.5.1             r43hc72bb7e_2    conda-forge
r-ragg                    1.3.0             r43h73ae6e3_0    conda-forge
r-rann                    2.6.1             r43ha503ecb_4    conda-forge
r-rappdirs                0.3.3             r43h57805ef_2    conda-forge
r-rcmdcheck               1.4.0             r43h785f33e_2    conda-forge
r-rcolorbrewer            1.1_3             r43h785f33e_2    conda-forge
r-rcpp                    1.0.12            r43h7df8631_0    conda-forge
r-rcppannoy               0.0.22            r43ha503ecb_0    conda-forge
r-rcpparmadillo           0.12.8.2.1        r43h08d816e_0    conda-forge
r-rcppeigen               0.3.4.0.0         r43h08d816e_0    conda-forge
r-rcpphnsw                0.6.0             r43ha503ecb_0    conda-forge
r-rcppnumerical           0.6_0             r43ha503ecb_0    conda-forge
r-rcppprogress            0.4.2             r43hc72bb7e_3    conda-forge
r-rcpptoml                0.2.2             r43ha503ecb_1    conda-forge
r-rcurl                   1.98_1.14         r43hf9611b0_0    conda-forge
r-readr                   2.1.5             r43ha503ecb_0    conda-forge
r-readxl                  1.4.3             r43ha5c9fba_0    conda-forge
r-recipes                 1.0.10            r43hc72bb7e_0    conda-forge
r-recommended             4.3             r43hd8ed1ab_1006    conda-forge
r-rematch                 2.0.0             r43hc72bb7e_0    conda-forge
r-rematch2                2.1.2             r43hc72bb7e_3    conda-forge
r-remotes                 2.5.0             r43hc72bb7e_0    conda-forge
r-repr                    1.1.7             r43h785f33e_0    conda-forge
r-reshape2                1.4.4             r43ha503ecb_3    conda-forge
r-restfulr                0.0.15            r43h56115f1_3    bioconda
r-reticulate              1.36.1            r43ha18555a_0    conda-forge
r-rio                     1.1.1             r43hc72bb7e_0    conda-forge
r-rjson                   0.2.21            r43ha503ecb_3    conda-forge
r-rlang                   1.1.3             r43ha503ecb_0    conda-forge
r-rmarkdown               2.26              r43hc72bb7e_0    conda-forge
r-rmpfr                   0.9_5             r43h5db443f_0    conda-forge
r-rocr                    1.0_11            r43hc72bb7e_3    conda-forge
r-roxygen2                7.3.1             r43ha503ecb_0    conda-forge
r-rpart                   4.1.23            r43h57805ef_0    conda-forge
r-rprojroot               2.0.4             r43hc72bb7e_0    conda-forge
r-rspectra                0.16_1            r43h08d816e_2    conda-forge
r-rsqlite                 2.3.4             r43ha503ecb_0    conda-forge
r-rstatix                 0.7.2             r43hc72bb7e_1    conda-forge
r-rstudioapi              0.16.0            r43hc72bb7e_0    conda-forge
r-rsvd                    1.0.5             r43hc72bb7e_2    conda-forge
r-rtsne                   0.17              r43h7ce84a7_0    conda-forge
r-rversions               2.1.2             r43hc72bb7e_2    conda-forge
r-sass                    0.4.9             r43ha503ecb_0    conda-forge
r-scales                  1.3.0             r43hc72bb7e_0    conda-forge
r-scattermore             1.2               r43ha503ecb_1    conda-forge
r-sctransform             0.4.1             r43h08d816e_0    conda-forge
r-sessioninfo             1.2.2             r43hc72bb7e_2    conda-forge
r-seurat                  5.0.3             r43ha503ecb_0    conda-forge
r-seuratobject            5.0.1             r43ha503ecb_0    conda-forge
r-shape                   1.4.6.1           r43ha770c72_0    conda-forge
r-shiny                   1.8.1.1           r43h785f33e_0    conda-forge
r-sitmo                   2.0.2             r43ha503ecb_2    conda-forge
r-snow                    0.4_4             r43hc72bb7e_2    conda-forge
r-sourcetools             0.1.7_1           r43ha503ecb_1    conda-forge
r-sp                      2.1_3             r43h57805ef_0    conda-forge
r-spam                    2.10_0            r43h9f9f741_0    conda-forge
r-sparsem                 1.83              r43hbcb9c34_0    conda-forge
r-spatial                 7.3_17            r43h57805ef_0    conda-forge
r-spatstat.data           3.0_4             r43hc72bb7e_0    conda-forge
r-spatstat.explore        3.2_6             r43h57805ef_0    conda-forge
r-spatstat.geom           3.2_9             r43h57805ef_0    conda-forge
r-spatstat.random         3.2_3             r43ha503ecb_0    conda-forge
r-spatstat.sparse         3.0_3             r43h57805ef_0    conda-forge
r-spatstat.utils          3.0_4             r43h57805ef_0    conda-forge
r-squarem                 2021.1            r43hc72bb7e_2    conda-forge
r-stringi                 1.8.3             r43h9facbd6_0    conda-forge
r-stringr                 1.5.1             r43h785f33e_0    conda-forge
r-survival                3.5_8             r43h57805ef_0    conda-forge
r-sys                     3.4.2             r43h57805ef_1    conda-forge
r-systemfonts             1.0.5             r43haf97adc_0    conda-forge
r-tensor                  1.5             r43hc72bb7e_1005    conda-forge
r-testthat                3.2.1.1           r43ha503ecb_0    conda-forge
r-textshaping             0.3.7             r43hd87b9d6_0    conda-forge
r-tfmpvalue               0.0.9             r43ha503ecb_1    conda-forge
r-tibble                  3.2.1             r43h57805ef_2    conda-forge
r-tidyr                   1.3.1             r43ha503ecb_0    conda-forge
r-tidyselect              1.2.1             r43hc72bb7e_0    conda-forge
r-timechange              0.3.0             r43ha503ecb_0    conda-forge
r-timedate                4032.109          r43hc72bb7e_0    conda-forge
r-tinytex                 0.50              r43hc72bb7e_0    conda-forge
r-truncnorm               1.0_9             r43h57805ef_1    conda-forge
r-tzdb                    0.4.0             r43ha503ecb_1    conda-forge
r-urlchecker              1.0.1             r43hc72bb7e_2    conda-forge
r-usethis                 2.2.3             r43hc72bb7e_0    conda-forge
r-utf8                    1.2.4             r43h57805ef_0    conda-forge
r-uuid                    1.2_0             r43h57805ef_0    conda-forge
r-uwot                    0.1.16            r43ha503ecb_0    conda-forge
r-vctrs                   0.6.5             r43ha503ecb_0    conda-forge
r-vipor                   0.4.7             r43hc72bb7e_0    conda-forge
r-viridis                 0.6.5             r43hc72bb7e_1    conda-forge
r-viridislite             0.4.2             r43hc72bb7e_1    conda-forge
r-vroom                   1.6.5             r43ha503ecb_0    conda-forge
r-waldo                   0.5.2             r43hc72bb7e_0    conda-forge
r-whisker                 0.4.1             r43hc72bb7e_1    conda-forge
r-withr                   3.0.0             r43hc72bb7e_0    conda-forge
r-writexl                 1.5.0             r43h57805ef_0    conda-forge
r-xfun                    0.43              r43ha503ecb_0    conda-forge
r-xml                     3.99_0.16.1       r43hc6530ce_0    conda-forge
r-xml2                    1.3.6             r43hbfba7a4_1    conda-forge
r-xopen                   1.0.0           r43hc72bb7e_1005    conda-forge
r-xtable                  1.8_4             r43hc72bb7e_5    conda-forge
r-yaml                    2.3.8             r43h57805ef_0    conda-forge
r-zip                     2.3.1             r43h57805ef_0    conda-forge
r-zoo                     1.8_12            r43h57805ef_1    conda-forge
re2                       2023.09.01           h7f4b329_1    conda-forge
readline                  8.2                  h8228510_1    conda-forge
referencing               0.33.0             pyhd8ed1ab_0    conda-forge
requests                  2.31.0             pyhd8ed1ab_0    conda-forge
requests-oauthlib         1.3.1              pyhd8ed1ab_0    conda-forge
rfc3339-validator         0.1.4              pyhd8ed1ab_0    conda-forge
rfc3986-validator         0.1.1              pyh9f0ad1d_0    conda-forge
rpds-py                   0.18.0          py311h46250e7_0    conda-forge
rsa                       4.9                pyhd8ed1ab_0    conda-forge
rustworkx                 0.14.2                   pypi_0    pypi
s2n                       1.4.1                h06160fa_0    conda-forge
scanpy                    1.10.1             pyhd8ed1ab_0    conda-forge
scikit-learn              1.4.1.post1     py311hc009520_0    conda-forge
scipy                     1.12.0          py311h64a7726_2    conda-forge
seaborn                   0.13.2               hd8ed1ab_0    conda-forge
seaborn-base              0.13.2             pyhd8ed1ab_0    conda-forge
sed                       4.8                  he412f7d_0    conda-forge
send2trash                1.8.2              pyh41d4057_0    conda-forge
sentry-sdk                2.3.1              pyhd8ed1ab_0    conda-forge
session-info              1.0.0              pyhd8ed1ab_0    conda-forge
setproctitle              1.3.3           py311h459d7ec_0    conda-forge
setuptools                69.1.1             pyhd8ed1ab_0    conda-forge
shap                      0.45.0                   pypi_0    pypi
simplejson                3.19.2                   pypi_0    pypi
six                       1.16.0             pyh6c4a22f_0    conda-forge
slicer                    0.0.7                    pypi_0    pypi
smmap                     5.0.0              pyhd8ed1ab_0    conda-forge
snapatac2                 2.6.0                    pypi_0    pypi
snappy                    1.1.10               h9fff704_0    conda-forge
sniffio                   1.3.1              pyhd8ed1ab_0    conda-forge
sorted-nearest            0.0.39                   pypi_0    pypi
soupsieve                 2.5                pyhd8ed1ab_1    conda-forge
sparse                    0.15.4             pyhd8ed1ab_0    conda-forge
stack_data                0.6.2              pyhd8ed1ab_0    conda-forge
statsmodels               0.14.1          py311h1f0f07a_0    conda-forge
stdlib-list               0.10.0             pyhd8ed1ab_0    conda-forge
sympy                     1.12            pypyh9d50eac_103    conda-forge
sysroot_linux-64          2.12                he073ed8_17    conda-forge
tabulate                  0.9.0                    pypi_0    pypi
tbb                       2021.12.0            h297d8ca_1    conda-forge
tenacity                  8.2.3                    pypi_0    pypi
tensorboard               2.15.2             pyhd8ed1ab_0    conda-forge
tensorboard-data-server   0.7.0           py311h63ff55d_1    conda-forge
tensorflow                2.15.0          cpu_py311hd3d7757_2    conda-forge
tensorflow-base           2.15.0          cpu_py311h6aa969b_2    conda-forge
tensorflow-estimator      2.15.0          cpu_py311ha26c8b9_2    conda-forge
termcolor                 2.4.0              pyhd8ed1ab_0    conda-forge
terminado                 0.18.0             pyh0d859eb_0    conda-forge
texttable                 1.7.0                    pypi_0    pypi
threadpoolctl             3.3.0              pyhc1e730c_0    conda-forge
tinycss2                  1.2.1              pyhd8ed1ab_0    conda-forge
tk                        8.6.13          noxft_h4845f30_101    conda-forge
tktable                   2.10                 h0c5db8f_5    conda-forge
toml                      0.10.2             pyhd8ed1ab_0    conda-forge
tomli                     2.0.1              pyhd8ed1ab_0    conda-forge
tomlkit                   0.12.4             pyha770c72_0    conda-forge
torchaudio                2.3.0               py311_cu121    pytorch
torchtriton               2.3.0                     py311    pytorch
torchvision               0.18.0              py311_cu121    pytorch
tornado                   6.4             py311h459d7ec_0    conda-forge
tqdm                      4.66.2             pyhd8ed1ab_0    conda-forge
traitlets                 5.14.1             pyhd8ed1ab_0    conda-forge
types-python-dateutil     2.8.19.20240106    pyhd8ed1ab_0    conda-forge
typing-extensions         4.10.0               hd8ed1ab_0    conda-forge
typing_extensions         4.10.0             pyha770c72_0    conda-forge
typing_utils              0.1.0              pyhd8ed1ab_0    conda-forge
tzdata                    2024a                h0c530f3_0    conda-forge
umap-learn                0.5.5           py311h38be061_1    conda-forge
uri-template              1.3.0              pyhd8ed1ab_0    conda-forge
urllib3                   2.2.1              pyhd8ed1ab_0    conda-forge
wandb                     0.16.5             pyhd8ed1ab_0    conda-forge
wcwidth                   0.2.13             pyhd8ed1ab_0    conda-forge
webcolors                 1.13               pyhd8ed1ab_0    conda-forge
webencodings              0.5.1              pyhd8ed1ab_2    conda-forge
websocket-client          1.7.0              pyhd8ed1ab_0    conda-forge
werkzeug                  3.0.1              pyhd8ed1ab_0    conda-forge
wheel                     0.42.0             pyhd8ed1ab_0    conda-forge
widgetsnbextension        4.0.10             pyhd8ed1ab_0    conda-forge
wrapt                     1.14.1          py311hd4cff14_1    conda-forge
x264                      1!164.3095           h166bdaf_2    conda-forge
x265                      3.5                  h924138e_3    conda-forge
xmltodict                 0.13.0             pyhd8ed1ab_0    conda-forge
xorg-fixesproto           5.0               h7f98852_1002    conda-forge
xorg-kbproto              1.0.7             h7f98852_1002    conda-forge
xorg-libice               1.1.1                hd590300_0    conda-forge
xorg-libsm                1.2.4                h7391055_0    conda-forge
xorg-libx11               1.8.7                h8ee46fc_0    conda-forge
xorg-libxau               1.0.11               hd590300_0    conda-forge
xorg-libxdmcp             1.1.3                h7f98852_0    conda-forge
xorg-libxext              1.3.4                h0b41bf4_2    conda-forge
xorg-libxfixes            5.0.3             h7f98852_1004    conda-forge
xorg-libxrender           0.9.11               hd590300_0    conda-forge
xorg-libxt                1.3.0                hd590300_1    conda-forge
xorg-renderproto          0.11.1            h7f98852_1002    conda-forge
xorg-xextproto            7.3.0             h0b41bf4_1003    conda-forge
xorg-xproto               7.0.31            h7f98852_1007    conda-forge
xz                        5.2.6                h166bdaf_0    conda-forge
yaml                      0.2.5                h7f98852_2    conda-forge
yarl                      1.9.4           py311h459d7ec_0    conda-forge
yq                        3.4.1              pyhd8ed1ab_0    conda-forge
zeromq                    4.3.5                h59595ed_1    conda-forge
zipp                      3.17.0             pyhd8ed1ab_0    conda-forge
zlib                      1.2.13               hd590300_5    conda-forge
zstd                      1.5.6                ha6fb4c9_0    conda-forge
